Abbreviation,Name,Reaction,GPR,Genes,Protein,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence score,E.C. number,Notes,References
rxn00938,Nicotinamide amidohydrolase,[c] : h2o + ncam => nh4 + nac,,does not have this gene,,,0,,,0,2,3.5.1.19,http://www.ncbi.nlm.nih.gov/pubmed/14285515,
rxn00947,Palmitate:CoA ligase (AMP-forming),[c] : atp + coa + h + hdca <=> ppi + amp + pmtcoa,,A0675,,,1,,,0,2,6.2.1.3,http://www.ncbi.nlm.nih.gov/pubmed/2528345,
rxn00966,chorismate pyruvate-lyase (4-hydroxybenzoate-forming),[c] : pyr + 4hbz <=> chor,,does not have this gene,,,1,,,0,1,4.1.3.40,http://www.ncbi.nlm.nih.gov/pubmed/1644758,
rxn00973,citrate hydro-lyase,[c] : cit <=> icit,,A1683,,,1,,,0,2,4.2.1.3,http://www.ncbi.nlm.nih.gov/pubmed/13126098,
rxn00974,citrate hydro-lyase,[c] : cit <=> h2o + acon-C,,A1683,,,1,,,0,2,4.2.1.3|4.2.1.4,,
rxn00979,glycolaldehyde:NAD+ oxidoreductase,[c] : h2o + nad + gcald => nadh + 2 h + glyclt,,does not have this gene,,,0,,,0,1,1.2.1.21,,
rxn00986,Propanoate:CoA ligase (AMP-forming),[c] : atp + h + ppa <=> ppi + Propionyladenylate,,A1838,,,1,,,0,2,6.2.1.1|6.2.1.17,http://www.ncbi.nlm.nih.gov/pubmed/12980945,
rxn00999,"Phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)",[c] : o2 + phpyr => co2 + 2-Hydroxyphenylacetate,,A2710,,,0,,,0,2,1.13.11.27,http://www.ncbi.nlm.nih.gov/pubmed/7118918,
rxn01000,Prephenate hydro-lyase (decarboxylating),[c] : h + pphn => h2o + co2 + phpyr,,A2404,,,0,,,0,2,4.2.1.51|4.2.1.91,http://www.ncbi.nlm.nih.gov/pubmed/14342329,
rxn01018,Carbamoyl-phosphate:L-aspartate carbamoyltransferase,[c] : asp-L + cbp => pi + 2 h + cbasp,,A0884,,,0,,,0,2,2.1.3.2,http://www.ncbi.nlm.nih.gov/pubmed/13319326,
rxn01019,Carbamoyl-phosphate:L-ornithine carbamoyltransferase,[c] : orn + cbp => pi + 2 h + citr-L,,A0674,,,0,,,0,2,2.1.3.3,http://www.ncbi.nlm.nih.gov/pubmed/6034676,
rxn01022,5'-Methylthioadenosine:orthophosphate,[c] : pi + h + 5mta => ade + 5mdr1p,,A0108,,,0,,,0,2,2.4.2.28,http://www.ncbi.nlm.nih.gov/pubmed/118001,
rxn01069,O-Phospho-L-homoserine phospho-lyase (adding water),[c] : h2o + phom => pi + h + thr-L,,???,,,0,,,0,2,4.2.3.1|4.2.99.2,,
rxn01073,sn-Glycero-3-phosphoethanolamine glycerophosphohydrolase,[c] : h2o + g3pe => glyc3p + etha,,A2838,,,0,,,0,2,3.1.4.2|3.1.4.46,http://www.ncbi.nlm.nih.gov/pubmed/13315235,
rxn01100,ATP:3-phospho-D-glycerate 1-phosphotransferase,[c] : atp + h + 3pg => adp + 13dpg,,A1585,,,0,,,0,2,2.7.2.3,http://www.ncbi.nlm.nih.gov/pubmed/13117871,
rxn01101,3-Phospho-D-glycerate:NAD+ 2-oxidoreductase,[c] : nad + 3pg <=> nadh + h + 3php,,A1246,,,1,,,0,2,1.1.1.95,http://www.ncbi.nlm.nih.gov/pubmed/4384871,
rxn01106,"2-Phospho-D-glycerate 2,3-phosphomutase",[c] : 2pg => 3pg,,A2233,,,0,,,0,2,5.4.2.1|5.4.2.4,http://www.ncbi.nlm.nih.gov/pubmed/6255773,
rxn01111,ATP:D-ribulose-5-phosphate 1-phosphotransferase,[c] : atp + ru5p-D => adp + rb15bp,,A2665,,,0,,,0,2,2.7.1.19,http://www.ncbi.nlm.nih.gov/pubmed/13295229,
rxn01115,6-Phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),[c] : nadp + 6pgc => nadph + co2 + ru5p-D,,A0221,,,0,,,0,2,1.1.1.44,http://www.ncbi.nlm.nih.gov/pubmed/14904376,
rxn01116,D-Ribulose-5-phosphate 3-epimerase,[c] : xu5p-D <=> ru5p-D,,A0324,,,1,,,0,2,5.1.3.1,http://www.ncbi.nlm.nih.gov/pubmed/13428737,
rxn01127,ATP:AMP phosphotransferase,[c] : atp + damp <=> adp + dadp,,A1046,,,1,,,0,2,2.7.4.3|2.7.4.11,http://www.ncbi.nlm.nih.gov/pubmed/13693070,
rxn01145,Thymidylate 5'-phosphohydrolase,[c] : h2o + dtmp => pi + h + thymd,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.35|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn01169,ATP:D-glucose 6-phosphotransferase,[c] : atp + glc-D-B <=> adp + g6p-B,,A2438,,,1,,,0,2,2.7.1.1|2.7.1.2,http://www.ncbi.nlm.nih.gov/pubmed/16748250,
rxn01200,Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate,[c] : g3p + s7p <=> r5p + xu5p-D,,A1022,,,1,,,0,2,2.2.1.1,http://www.ncbi.nlm.nih.gov/pubmed/14367398,
OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,[c] : h + 3c4mop => co2 + 4mop,,,,"Valine, Leucine, and Isoleucine Metabolism",1,,,0,0,,,
rxn01210,10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming),[c] : atp + glu-L + 10fthf => adp + pi + h + 10-Formyl-THF-L-glutamate,,A0401 (Same gene for both),,,0,,,0,2,6.3.2.12|6.3.2.17,http://www.ncbi.nlm.nih.gov/pubmed/14114858,
rxn01211,"5,10-Methenyltetrahydrofolate 5-hydrolase(decyclizing)",[c] : h2o + methf <=> h + 10fthf,,A0889,,,1,,,0,2,3.5.4.9|6.3.4.3,http://www.ncbi.nlm.nih.gov/pubmed/13672973,
rxn01213,Dimethylallyl-diphosphate:isopentenyl-diphosphate,[c] : ipdp + dmpp => ppi + grdp,,A1085,,,0,,,0,2,2.5.1.1|2.5.1.10|2.5.1.29,http://www.ncbi.nlm.nih.gov/pubmed/736921,
rxn01218,2'-Deoxycytidine 5'-monophosphate phosphohydrolase,[c] : h2o + dcmp => pi + h + dcyt,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),,
rxn01255,5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase,[c] : 3psme => pi + h + chor,,A2147,,,0,,,0,2,4.2.3.5,http://www.ncbi.nlm.nih.gov/pubmed/4146266,
rxn01256,Chorismate pyruvatemutase,[c] : chor <=> pphn,,A2537,,,1,,,0,2,5.4.99.5,http://www.ncbi.nlm.nih.gov/pubmed/14323651,
ADCS,chorismate:L-glutamine aminotransferase,[c] : gln-L + chor => glu-L + 4adcho,PabB ( A1098 and A1762 ) ,( A1098  and  A1762 ),PabB,Vitamins & Cofactor Biosynthesis,0,,,0,2,2.6.1.85,http://www.ncbi.nlm.nih.gov/pubmed/2251281,
rxn01258,Chorismate hydroxymutase,[c] : chor <=> ichor,,A0999,,,1,,,0,2,5.4.4.2|5.4.99.6,http://www.ncbi.nlm.nih.gov/pubmed/4306838,
NAMNPP,Nicotinate D-ribonucleotide:pyrophosphate phosphoribosyltransferase,[c] : ppi + nicrnt <=> h + prpp + nac,,A0508,pncB,Nicotinate and Nicotinamide Metabolism,1,,,0,2,2.4.2.11,http://www.ncbi.nlm.nih.gov/pubmed/13717628,
rxn01274,S-(2-Hydroxyacyl)glutathione hydrolase,[c] : h2o + lgt-S => gthrd + h + lac-D,,A1864,,,0,,,0,2,3.1.2.6,http://www.ncbi.nlm.nih.gov/pubmed/13032160,
rxn01280,(R)-Glycerate:NAD+ oxidoreductase,[c] : nadh + h + 2h3opp => nad + glyc-R ,,does not have this gene,,,0,,,0,2,1.1.1.60,http://www.ncbi.nlm.nih.gov/pubmed/13900766,
rxn01281,(R)-Glycerate:NADP+ oxidoreductase,[c] : nadph + h + 2h3opp =>  nadp + glyc-R,,does not have this gene,,,0,,,0,2,1.1.1.60,http://www.ncbi.nlm.nih.gov/pubmed/13900766,
rxn01300,ATP:L-homoserine O-phosphotransferase,[c] : atp + hom-L => adp + phom,,A0091,,,0,,,0,2,2.7.1.39,http://www.ncbi.nlm.nih.gov/pubmed/13823379,
rxn01329,"D-Mannose 6-phosphate 1,6-phosphomutase",[c] : man6p <=> man1p,,A0950,,,1,,,0,2,5.4.2.8,,
rxn01331,D-erythrose 4-phosphate:NAD+ oxidoreductase,[c] : h2o + nad + e4p <=> nadh + 2 h + 4per,,does not have this gene,,,1,,,0,2,1.2.1.72,http://www.ncbi.nlm.nih.gov/pubmed/7751290,
rxn01332,Phosphoenolpyruvate:D-erythrose-4-phosphate,[c] : h2o + pep + e4p => pi + h + 2dda7p,,A1825,,,0,,,0,2,2.5.1.54|4.1.2.15,http://www.ncbi.nlm.nih.gov/pubmed/13654249,
rxn01333,Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate,[c] : g3p + s7p <=> f6p + e4p,,A1460,,,1,,,0,2,2.2.1.2,http://www.ncbi.nlm.nih.gov/pubmed/14353883,
rxn01334,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",[c] : dhap + e4p => s17bp,,A0010,,,0,,,0,2,4.1.2.13,http://www.ncbi.nlm.nih.gov/pubmed/2649077,
rxn01343,ATP:Sedoheptulose 7-phosphate 1-phosphotransferase,[c] : atp + s7p => adp + s17bp,,???,,,0,,,0,2,2.7.1.11,,
rxn01345,"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase",[c] : h2o + s17bp => pi + h + s7p,,???,,,0,,,0,2,3.1.3.11|3.1.3.37,,
XTPASE,2'-Deoxyguanosine 5'-triphosphate pyrophosphohydrolase,[c] : h2o + dgtp => ppi + dgmp,IxpP (A0601) ,A0601,IxpP,Nucleotide Metabolism,0,,,0,2,3.6.1.19,http://www.ncbi.nlm.nih.gov/pubmed/4310599,
rxn01353,ATP:nucleoside-diphosphate phosphatransferase,[c] : atp + dgdp <=> adp + dgtp,,A0814,,,1,,,0,2,2.7.4.6,http://www.ncbi.nlm.nih.gov/pubmed/13211603,
rxn01360,(S)-Dihydroorotate:oxygen oxidoreductase,[c] : fum + dhor-S <=> succ + orot,,,,,1,,,0,2,1.3.3.1|1.3.99.11,,
rxn01362,Orotidine-5'-phosphate:pyrophosphate phosphoribosyltransferase,[c] : ppi + orot5p <=> prpp + orot,,A0610,,,1,,,0,2,2.4.2.10,http://www.ncbi.nlm.nih.gov/pubmed/692383,
rxn01387,Isocitrate:NADP+ oxidoreductase (decarboxylating),[c] : nadp + icit <=> nadph + h + oxasucc,,A0838,,,1,,,0,2,1.1.1.42,http://www.ncbi.nlm.nih.gov/pubmed/13363868,
rxn01388,isocitrate hydro-lyase,[c] : icit <=> h2o + acon-C,,A1683,,,1,,,0,2,4.2.1.3,http://www.ncbi.nlm.nih.gov/pubmed/13126098,
rxn01406,S-Adenosylmethioninamine:putrescine 3-aminopropyltransferase,[c] : ptrc + ametam => h + 5mta + spmd,,A2283,,,0,,,0,2,2.5.1.16,http://www.ncbi.nlm.nih.gov/pubmed/4564056,
rxn01434,L-Citrulline:L-aspartate ligase (AMP-forming),[c] : atp + asp-L + citr-L => ppi + amp + argsuc,,A2806,,,0,,,0,2,6.3.4.5,,
rxn01445,2'-Deoxyguanosine 5'-monophosphate phosphohydrolase,[c] : h2o + dgmp => pi + h + dgsn,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn01465,(S)-Dihydroorotate amidohydrolase,[c] : h2o + dhor-S <=> h + cbasp,,A2070,,,1,,,0,2,3.5.2.3,http://www.ncbi.nlm.nih.gov/pubmed/13163076,
rxn01466,Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase,[c] : ipdp + grdp => ppi + frdp,,A1085,,,0,,,0,2,2.5.1.1|2.5.1.10|2.5.1.29,http://www.ncbi.nlm.nih.gov/pubmed/736921,
rxn01476,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",[c] : h2o + 6pgl => h + 6pgc,,A0928,,,0,,,0,2,3.1.1.31,http://www.ncbi.nlm.nih.gov/pubmed/14454532,
rxn01484,N-Acetyl-D-glucosamine-6-phosphate amidohydrolase,[c] : h2o + acgam6p => ac + gam6p,,does not have this gene,,,0,,,0,2,3.5.1.25,http://www.ncbi.nlm.nih.gov/pubmed/4861885,
rxn01485,"D-Glucosamine 1-phosphate 1,6-phosphomutase",[c] : gam1p => gam6p,,A0450,,,0,,,0,2,5.4.2.10|5.4.2.2,http://www.ncbi.nlm.nih.gov/pubmed/8550580,
rxn01486,"trans,trans-Farnesyl-diphosphate:isopentenyl-diphosphate",[c] : ipdp + frdp => ppi + ggdp,,A1085,,,0,,,0,2,2.5.1.29,,
PHYTOS,Geranylgeranyl-diphosphate:geranylgeranyl-diphosphate,[c] : 2 ggdp => ppi + Prephytoene diphosphate,CrtB (A1936) ,A1936,CrtB,Carotenoid Biosynthesis,0,,,0,2,2.5.1.32,http://www.ncbi.nlm.nih.gov/pubmed/4819767,
rxn01506,N-Acetyl-D-glucosamine 6-phosphate 2-epimerase,[c] : acmanap => acgam6p ,,A0006,,,1,,,0,2,5.1.3.9,http://www.ncbi.nlm.nih.gov/pubmed/14285487,
rxn01507,2'-Deoxyadenosine 5'-monophosphate phosphohydrolase,[c] : h2o + damp => pi + h + dad-2,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn01509,ATP:(d)GMP phosphotransferase,[c] : atp + dgmp <=> adp + dgdp,,A1846,,,1,,,0,2,2.7.4.8|2.7.4.12,http://www.ncbi.nlm.nih.gov/pubmed/4307347,
rxn01512,ATP:nucleoside-diphosphate phosphatransferase,[c] : atp + dtdp <=> adp + dttp,,A0814,,,1,,,0,2,2.7.4.6,http://www.ncbi.nlm.nih.gov/pubmed/13211603,
AMANAPE,ATP:dTMP phosphotransferase,[c] : atp + dtmp <=> adp + dtdp,NanE (A0006) ,A0006,NanE,Aminosugars Metabolism,1,,,0,2,2.7.4.9|2.7.4.12,http://www.ncbi.nlm.nih.gov/pubmed/14405566,
rxn01517,ATP:dTMP phosphotransferase,[c] : atp + dump <=> adp + dudp,,A1316,,,1,,,0,2,2.7.4.4|2.7.4.9,http://www.ncbi.nlm.nih.gov/pubmed/13363863,
XTPASE,dUTP nucleotidohydrolase,[c] : h2o + dutp => ppi + dump,IxpP (A0601) ,A0601,IxpP,Nucleotide Metabolism,0,,,0,2,3.6.1.19|3.6.1.23,http://www.ncbi.nlm.nih.gov/pubmed/4310599,
rxn01520,"5,10-Methylenetetrahydrofolate:dUMP C-methyltransferase",[c] : mlthf + dump => dtmp + dhf,,Does not have this gene,,,0,,,0,1,2.1.1.45,http://www.ncbi.nlm.nih.gov/pubmed/34155,
rxn01521,5'-nucleotidase (dUMP),[c] : h2o + dump => pi + h + duri,,,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn01575,L-Isoleucine:2-oxoglutarate aminotransferase,[c] : glu-L + 3mop => akg + ile-L,,A1863,,,0,,,0,2,2.6.1.42,http://www.ncbi.nlm.nih.gov/pubmed/4968655,
rxn01602,Dihydrofolate:NADP+ oxidoreductase,[c] : nadp + dhf <=> nadph + h + fol,,Does not have this gene,,,1,,,0,2,1.5.1.3,http://www.ncbi.nlm.nih.gov/pubmed/6815178,
rxn01603,"7,8-dihydropteroate:L-glutamate ligase (ADP-forming)",[c] : atp + glu-L + dhpt => adp + pi + h + dhf,,A0401,,,0,,,0,2,6.3.2.12|6.3.2.17,http://www.ncbi.nlm.nih.gov/pubmed/14114858,
rxn01629,"(S)-4-Amino-5-oxopentanoate 4,5-aminomutase",[c] : glu1sa => 5aop ,,A2206,,,0,,,0,2,5.4.3.8,,
rxn01636,N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase,[c] : glu-L + acorn <=> orn + acglu,,A1130,,,1,,,0,2,2.3.1.35,http://www.ncbi.nlm.nih.gov/pubmed/5972370,
rxn01637,N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase,[c] : glu-L + acg5sa => akg + acorn ,,A0326,,,0,,,0,2,2.6.1.11,http://www.ncbi.nlm.nih.gov/pubmed/14213368,
rxn01643,L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating),[c] : nadph + 4pasp => nadp + pi + aspsa ,,A1275,,,0,,,0,2,1.2.1.11,http://www.ncbi.nlm.nih.gov/pubmed/14353904,
rxn01644,L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and,[c] : pyr + aspsa => 2 h2o + h + 23dhdp,,A1274,,,0,,,0,2,4.2.1.52,http://www.ncbi.nlm.nih.gov/pubmed/4910051,
rxn01653,5-Formyltetrahydrofolate cyclo-ligase (ADP-forming),[c] : atp + 5fthf => adp + pi + methf,,A1235,,,0,,,0,2,6.3.3.2,,
rxn01664,2-Aminoadipate 6-semialdehyde,[c] : h2o + h + thp2c <=> L2aadp6sa,,,,,1,,,0,2,,,
rxn01670,Nicotinamide ribonucleotide phosphohydrolase,[c] : h2o + nmn => pi + h + rnam,,A0492,,,0,,,0,2,3.1.3.5,http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn01671,ATP:N-ribosylnicotinamide 5'-phosphotransferase,[c] : atp + rnam => adp + nmn,,Does not have this gene,,,0,,,0,2,2.7.1.22,http://www.ncbi.nlm.nih.gov/pubmed/14907738,
rxn01672,dCTP aminohydrolase,[c] : h2o + h + dctp => nh4 + dutp,,A1310,,,0,,,0,2,3.5.4.13,http://www.ncbi.nlm.nih.gov/pubmed/4976547,
rxn01673,ATP:nucleoside-diphosphate phosphatransferase,[c] : atp + dcdp <=> adp + dctp,,A0814,,,1,,,0,2,2.7.4.6,http://www.ncbi.nlm.nih.gov/pubmed/13211603,
rxn01678,ATP:nucleoside-diphosphate phosphatransferase,[c] : atp + dudp <=> adp + dutp,,A0814,,,1,,,0,2,2.7.4.6,http://www.ncbi.nlm.nih.gov/pubmed/13211603,
rxn01682,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate",[c] : 3ig3p => g3p + indole,,No Benzoxazinoid biosynthesis pathway,,,0,,,0,2,4.1.2.8|4.2.1.20,http://www.ncbi.nlm.nih.gov/pubmed/13376586,
rxn01739,ATP:shikimate 3-phosphotransferase,[c] : atp + skm => adp + skm5p,,A2517,,,0,,,0,2,2.7.1.71,http://www.ncbi.nlm.nih.gov/pubmed/4866525,
rxn01740,Shikimate:NADP+ 5-oxidoreductase,[c] : nadp + skm <=> nadph + h + 3dhsk,,A1730,,,1,,,0,2,1.1.1.25|1.1.1.282,http://www.ncbi.nlm.nih.gov/pubmed/13686342,
rxn01790,(R)-Pantoate:NADP+ 2-oxidoreductase,[c] : nadph + h + 2dhp => nadp + pant-R ,,Does not have this gene,,,0,,,0,2,1.1.1.169,http://www.ncbi.nlm.nih.gov/pubmed/4603075,
rxn01791,(R)-Pantoate:beta-alanine ligase (AMP-forming),[c] : atp + ala-B + pant-R => ppi + amp + pnto-R,,A0343,,,0,,,0,2,6.3.2.1,http://www.ncbi.nlm.nih.gov/pubmed/14377603,
rxn01834,(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing),[c] : gthrd + mthgxl => lgt-S,,A0337,,,0,,,0,2,4.4.1.5,http://www.ncbi.nlm.nih.gov/pubmed/4574550,
rxn01870,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,[c] : f1p <=> dhap + glyald,,A0010,,,1,,,0,2,4.1.2.13,http://www.ncbi.nlm.nih.gov/pubmed/2649077,
rxn01917,ATP:N-acetyl-L-glutamate 5-phosphotransferase,[c] : atp + h + acglu => adp + acg5p,,A2516,,,1,,,0,2,2.7.2.8,http://www.ncbi.nlm.nih.gov/pubmed/13863980,
rxn01961,Xanthosine 5'-phosphate phosphohydrolase,[c] : h2o + xmp => pi + h + xtsn,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
XTPASE,XTP pyrophosphohydrolase,[c] : h2o + xtp => ppi + xmp,IxpP (A0601) ,A0601,IxpP,Nucleotide Metabolism,0,,,0,2,3.6.1.19,http://www.ncbi.nlm.nih.gov/pubmed/4310599,
rxn01964,L-Serine hydro-lyase (adding indoleglycerol-phosphate),[c] : ser-L + 3ig3p => h2o + trp-L + g3p,,A0296,,,0,,,0,2,4.2.1.20,http://www.ncbi.nlm.nih.gov/pubmed/16590328,
rxn01967,"beta-D-Glucose 1-phosphate 1,6-phosphomutase",[c] : g1p-B <=> g6p-B,,does not have,,,1,,,0,2,5.4.2.6,,
rxn01974,"LL-2,6-Diaminoheptanedioate 2-epimerase",[c] : 26dap-LL <=> 26dap-M,,A1642,,,1,,,0,2,5.1.1.7,http://www.ncbi.nlm.nih.gov/pubmed/13412646,
rxn01975,beta-D-Glucose-6-phosphate:NADP+ 1-oxoreductase,[c] : nadp + g6p-B => nadph + h + 6pgl,,A1459,,,0,,,0,2,1.1.1.49,http://www.ncbi.nlm.nih.gov/pubmed/5363983,
rxn01977,alpha-D-Glucose 6-phosphate ketol-isomerase,[c] : g6p <=> g6p-B,,A0452|A0964,,,1,,,0,2,5.1.3.15|5.3.1.9,http://www.ncbi.nlm.nih.gov/pubmed/11946648,
rxn01997,"dTDPglucose 4,6-hydro-lyase",[c] : dtdpglu => h2o + dtdp4d6dg,,A2339,,,0,,,0,2,4.2.1.46,http://www.ncbi.nlm.nih.gov/pubmed/14284740,
rxn02008,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(ADP-forming),[c] : atp + glu-D + uama => adp + pi + h + uamag,,A0850,,,0,,,0,2,6.3.2.9,http://www.ncbi.nlm.nih.gov/pubmed/11699883,
rxn02011,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-2,6-",[c] : atp + 26dap-M + uamag => adp + pi + h + ugmd,,A0121,,,0,,,0,2,6.3.2.13,http://www.ncbi.nlm.nih.gov/pubmed/4967958,
rxn02155,ATP:nicotinamide-nucleotide adenylyltransferase,[c] : atp + nicrnt <=> ppi + dnad,,A0878,,,1,,,0,2,2.7.7.1|2.7.7.18,http://www.ncbi.nlm.nih.gov/pubmed/13684981,
rxn02159,L-Histidinol:NAD+ oxidoreductase,[c] : nad + histd => nadh + h + cbs_412,,A2049,,,0,,,0,2,1.1.1.23,http://www.ncbi.nlm.nih.gov/pubmed/13192138,
rxn02160,L-Histidinol-phosphate phosphohydrolase,[c] : h2o + hisp => pi + h + histd,,does not have this gene,,,0,,,0,2,3.1.3.15,http://www.ncbi.nlm.nih.gov/pubmed/13438843,
rxn02166,4-Nitrophenyl phosphate phosphohydrolase,[c] : h2o + 4-Nitrophenyl phosphate => pi + h + PNP,,could not find this pathway,,,0,,,0,2,3.1.3.1|3.1.3.2|3.1.3.41,http://www.ncbi.nlm.nih.gov/pubmed/13890304,
rxn02175,ATP:pantetheine-4'-phosphate adenylyltransferase,[c] : atp + pan4p <=> ppi + dpcoa,,A0316,,,1,,,0,2,2.7.7.3,http://www.ncbi.nlm.nih.gov/pubmed/13163064,
rxn02185,2-Acetolactate pyruvate-lyase (carboxylating),[c] : pyr + 2-Hydroxyethyl-ThPP => thmpp + alac-S,,A2704,,,0,,,0,2,2.2.1.6,http://www.ncbi.nlm.nih.gov/pubmed/14243762,
rxn02186,"2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)",[c] : nadph + h + alac-S <=> nadp + 23dhmb,,,,,1,,,0,2,1.1.1.86,,
rxn02187,2-Acetolactate methylmutase,[c] : alac-S <=> 33hmeoxobut,,A1278,,,1,,,0,2,5.4.99.3|1.1.1.86,http://www.ncbi.nlm.nih.gov/pubmed/4384955,
rxn02200,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-",[c] : 4abz + 6hmhpt => h2o + dhpt,,A1294,,,0,,,0,2,2.5.1.15,http://www.ncbi.nlm.nih.gov/pubmed/4304228,
rxn02201,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-",[c] : 4abz + 6hmhptpp => ppi + dhpt,,A1294,,,0,,,0,2,2.5.1.15,http://www.ncbi.nlm.nih.gov/pubmed/4304228,
rxn02212,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase,[c] : 2dda7p => pi + h + 3dhq,,A1146,,,0,,,0,2,4.2.3.4|4.6.1.3,http://www.ncbi.nlm.nih.gov/pubmed/5275368,
rxn02213,3-Dehydroquinate hydro-lyase,[c] : 3dhq <=> h2o + 3dhsk,,A2527,,,1,,,0,2,4.2.1.10,http://www.ncbi.nlm.nih.gov/pubmed/13198937,
rxn02264,Hydroxymethylbilane hydro-lyase(cyclizing),[c] : hmbil => h2o + uppg3,,A1192,,,0,,,0,2,4.2.1.75,http://www.ncbi.nlm.nih.gov/pubmed/6769048,
rxn02277,"7,8-Diaminononanoate:carbon-dioxide cyclo-ligase",[c] : atp + co2 + dann => adp + pi + 3 h + dtbt,,A2727,,,0,,,0,2,6.3.3.3,http://www.ncbi.nlm.nih.gov/pubmed/4921568,
rxn02285,UDP-N-acetylmuramate:NADP+ oxidoreductase,[c] : nadph + h + uaccg => nadp + uamr ,,A0104,,,0,,,0,2,1.1.1.158,http://www.ncbi.nlm.nih.gov/pubmed/4717533,
rxn02286,UDP-N-acetylmuramate:L-alanine ligase (ADP-forming),[c] : atp + ala-L + uamr => adp + pi + h + uama,,,,,0,,,0,2,6.3.2.8,,
rxn02287,S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase,[c] : 2 amet + uppg3 => 2 ahcys + 2 h + pre2,,A1192,,,0,,,0,2,2.1.1.107,http://www.ncbi.nlm.nih.gov/pubmed/2407234,
rxn02288,Uroporphyrinogen-III carboxy-lyase,[c] : 4 h + uppg3 => 4 co2 + cpppg3,,A0823,,,0,,,0,2,4.1.1.37,http://www.ncbi.nlm.nih.gov/pubmed/13549492,
rxn02297,6-Carboxyhexanoyl-CoA:L-alanine C-carboxyhexanoyltransferase,[c] : ala-L + h + pmcoa => coa + co2 + 8aonn,,A1281,,,0,,,0,2,2.3.1.47,http://www.ncbi.nlm.nih.gov/pubmed/4879561,
rxn02303,Coproporphyrinogen:oxygen oxidoreductase(decarboxylating),[c] : o2 + 2 h + cpppg3 => 2 h2o + 2 co2 + pppg9,,A1828,,,0,,,0,2,1.3.3.3,http://www.ncbi.nlm.nih.gov/pubmed/5881662,
rxn02305,2-Methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-,[c] : h + 4mpetz + 2mahmp => ppi + thmmp,,A0279,,,0,,,0,2,2.5.1.3,http://www.ncbi.nlm.nih.gov/pubmed/13807175,
rxn02314,ATP:D-tagatose-6-phosphate 1-phosphotransferase,[c] : atp + tag6p-D <=> adp + tagdp-D,,A0162,,,1,,,0,2,2.7.1.11|2.7.1.56|2.7.1.144|2.7.1.145,http://www.ncbi.nlm.nih.gov/pubmed/12981037,
rxn02320,5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase,[c] : glu-L + imacp => akg + hisp,,A0511,,,0,,,0,2,2.6.1.9,http://www.ncbi.nlm.nih.gov/pubmed/13319331,
rxn02339,4-Hydroxy-L-glutamate:2-oxoglutarate aminotransferase,[c] : akg + 4hglu => glu-L + 4h2oglt,,A0512,,,0,,,0,2,2.6.1.23|2.6.1.1,http://www.ncbi.nlm.nih.gov/pubmed/13948827,
